"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
127,4,2,10,TRUE,TRUE,0.098,TRUE,0.266
132,4,2,10,TRUE,TRUE,0.104,TRUE,0.24
144,4,2,10,TRUE,TRUE,0.109,TRUE,0.306
164,4,2,10,TRUE,TRUE,0.103,TRUE,1.091
191,4,2,10,TRUE,TRUE,0.117,TRUE,0.45
197,4,2,10,TRUE,TRUE,0.101,TRUE,0.287
202,4,2,10,TRUE,TRUE,0.117,TRUE,0.446
203,4,2,10,TRUE,TRUE,0.111,TRUE,0.437
209,4,2,10,TRUE,TRUE,0.099,TRUE,1.183
217,4,2,10,TRUE,TRUE,0.098,TRUE,0.239
276,4,2,10,TRUE,TRUE,0.1,TRUE,0.487
277,4,2,10,TRUE,TRUE,0.098,TRUE,0.221
281,4,2,10,TRUE,TRUE,0.073,TRUE,0.23
282,4,2,10,TRUE,TRUE,0.084,TRUE,0.298
300,4,2,10,TRUE,TRUE,0.122,TRUE,2.354
312,4,2,10,TRUE,TRUE,0.119,TRUE,0.372
345,4,2,10,TRUE,TRUE,0.112,TRUE,0.558
352,4,2,10,TRUE,TRUE,0.106,TRUE,1.138
358,4,2,10,TRUE,TRUE,0.119,TRUE,0.543
359,4,2,10,TRUE,TRUE,0.102,TRUE,0.413
364,4,2,10,TRUE,TRUE,0.092,TRUE,0.378
379,4,2,10,TRUE,TRUE,0.087,TRUE,0.166
382,4,2,10,TRUE,TRUE,0.097,TRUE,0.493
419,4,2,10,TRUE,TRUE,0.101,TRUE,0.158
422,4,2,10,TRUE,TRUE,0.091,TRUE,0.309
429,4,2,10,TRUE,TRUE,0.096,TRUE,0.175
456,4,2,10,TRUE,TRUE,0.098,TRUE,0.173
46,4,2,10,FALSE,TRUE,0.144,TRUE,0.392
47,4,2,10,TRUE,TRUE,0.093,TRUE,0.31
49,4,2,10,TRUE,TRUE,0.094,TRUE,0.159
50,4,2,10,TRUE,TRUE,0.106,TRUE,0.318
502,4,2,10,TRUE,TRUE,0.084,TRUE,0.175
509,4,2,10,TRUE,TRUE,0.083,TRUE,0.213
51,4,2,10,FALSE,TRUE,0.119,TRUE,0.264
52,4,2,10,TRUE,TRUE,0.103,TRUE,1.075
56,4,2,10,TRUE,TRUE,0.093,TRUE,0.272
57,4,2,10,TRUE,TRUE,0.132,TRUE,2.176
59,4,2,10,TRUE,TRUE,0.109,TRUE,0.342
82,4,2,10,TRUE,TRUE,0.097,TRUE,0.172
127,4,2,20,FALSE,TRUE,0.199,TRUE,0.333
132,4,2,20,FALSE,TRUE,0.109,TRUE,0.174
144,4,2,20,FALSE,TRUE,0.114,TRUE,0.203
164,4,2,20,FALSE,TRUE,0.124,TRUE,0.257
191,4,2,20,FALSE,TRUE,0.1,TRUE,0.206
197,4,2,20,FALSE,TRUE,0.109,TRUE,0.169
202,4,2,20,FALSE,TRUE,0.172,TRUE,0.327
203,4,2,20,FALSE,TRUE,0.152,TRUE,0.212
209,4,2,20,FALSE,TRUE,0.248,TRUE,0.196
217,4,2,20,FALSE,TRUE,0.266,TRUE,0.816
276,4,2,20,FALSE,TRUE,0.197,TRUE,0.202
277,4,2,20,FALSE,TRUE,0.124,TRUE,0.209
281,4,2,20,FALSE,TRUE,0.224,TRUE,0.567
282,4,2,20,TRUE,TRUE,0.118,TRUE,0.221
300,4,2,20,FALSE,TRUE,0.128,TRUE,0.242
312,4,2,20,TRUE,TRUE,0.097,TRUE,0.187
345,4,2,20,TRUE,TRUE,0.081,TRUE,0.152
352,4,2,20,FALSE,TRUE,0.136,TRUE,0.205
358,4,2,20,TRUE,TRUE,0.117,TRUE,0.246
359,4,2,20,FALSE,TRUE,0.124,TRUE,0.422
364,4,2,20,TRUE,TRUE,0.13,TRUE,0.194
379,4,2,20,FALSE,TRUE,0.131,TRUE,0.211
382,4,2,20,FALSE,TRUE,0.117,TRUE,0.256
419,4,2,20,FALSE,TRUE,0.113,TRUE,0.19
422,4,2,20,TRUE,TRUE,0.143,TRUE,0.209
429,4,2,20,FALSE,TRUE,0.172,TRUE,0.264
456,4,2,20,TRUE,TRUE,0.118,TRUE,0.248
46,4,2,20,FALSE,TRUE,0.109,TRUE,0.241
47,4,2,20,FALSE,TRUE,0.136,TRUE,0.319
49,4,2,20,FALSE,TRUE,0.136,TRUE,0.279
50,4,2,20,FALSE,TRUE,0.138,TRUE,0.161
502,4,2,20,FALSE,TRUE,0.123,TRUE,0.282
509,4,2,20,FALSE,TRUE,0.12,TRUE,0.3
51,4,2,20,FALSE,TRUE,0.141,TRUE,0.136
52,4,2,20,TRUE,TRUE,0.109,TRUE,0.249
56,4,2,20,TRUE,TRUE,0.118,TRUE,0.196
57,4,2,20,FALSE,TRUE,0.108,TRUE,0.166
59,4,2,20,TRUE,TRUE,0.129,TRUE,0.175
82,4,2,20,FALSE,TRUE,0.171,TRUE,2.453
127,4,5,10,TRUE,TRUE,0.106,TRUE,0.265
132,4,5,10,FALSE,TRUE,0.095,TRUE,0.159
144,4,5,10,TRUE,TRUE,0.139,TRUE,0.144
164,4,5,10,TRUE,TRUE,0.114,TRUE,0.268
191,4,5,10,TRUE,TRUE,0.098,TRUE,0.235
197,4,5,10,TRUE,TRUE,0.104,TRUE,0.183
