"inst","w","var","inc","feas","fixed_rp","fixed_bev","fixed_wev","flex_rp","flex_bev","flex_wev"
127,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
132,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
144,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
164,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
191,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
197,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
202,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
203,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
209,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
217,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
276,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
277,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
281,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
282,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
300,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
312,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
345,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
352,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
358,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
359,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
364,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
379,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
382,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
419,4,2,10,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
422,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
429,4,2,10,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
456,4,2,10,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
46,4,2,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
49,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
50,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
502,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
509,4,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
51,4,2,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,4,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
57,4,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
