"inst","w","var","inc","rd","evpir","vssr","time"
47,4,2,10,0,6.39978930734791,NA,1.7411
49,4,2,10,0.830109606705351,8.8439506416197,NA,0.605333333333333
50,4,2,10,0,8.40312278211498,NA,1.8194
52,4,2,10,3.1204548459606,8.66777792024619,0.615463520964226,1.0062
56,4,2,10,0.212319790301442,7.58803679047144,3.76401303487116,2.0165
57,4,2,10,0,6.26175759204515,0.228433216877184,1.9975
59,4,2,10,0,7.51633986928105,NA,1.953
127,4,2,10,0.332003603139879,7.22226447208909,NA,1.8408
132,4,2,10,0,7.77443197372023,NA,2.157
144,4,2,10,0,9.08164750400233,NA,2.105
164,4,2,10,0,5.80958999305073,3.25225851285615,1.8612
191,4,2,10,0,10.3290560284589,NA,1.6016
197,4,2,10,0,6.98229310561346,NA,2.1749
202,4,2,10,0.0664370078740158,7.29547600167065,8.42986699486293,1.3072
203,4,2,10,0,4.81095339781434,NA,2.0741
209,4,2,10,0.0487867505456413,9.5189572858108,NA,1.8278
217,4,2,10,0,7.80561674008811,NA,0.9665
276,4,2,10,0,2.71608072090367,NA,2.1138
277,4,2,10,0,2.89541918755402,6.25180063382311,1.5834
281,4,2,10,0,23.0127576054956,NA,1.242
282,4,2,10,0,3.00542830663313,NA,1.36
300,4,2,10,0.219092331768388,6.36514781974121,NA,1.4506
312,4,2,10,0.426681837576447,7.15196147854412,0.22659679932021,1.702
345,4,2,10,0,9.95133196721311,0.512295081967213,0.9569
352,4,2,10,0,6.62067135465039,NA,1.3895
358,4,2,10,0.0300505395437782,8.48255638782492,NA,2.0618
359,4,2,10,0,7.72151898734177,NA,1.6548
364,4,2,10,0,11.3482484545187,NA,2.0551
379,4,2,10,0,16.4342514694019,NA,1.3655
382,4,2,10,0,3.62940275650842,0.122511485451761,2.0348
422,4,2,10,0,2.89893266570036,1.88430623270523,1.7434
502,4,2,10,0,6.6554943739526,9.50442901604022,1.8061
509,4,2,10,0,15.5088360755637,NA,1.1233
52,4,2,20,0.123208448579331,10.4435539123932,NA,1.9442
59,4,2,20,0,21.7161983974034,NA,1.5605
345,4,2,20,0,18.1962563811685,NA,1.9415
47,4,5,10,0.00670600858369099,9.77670123914743,0.0603540772532189,1.8152
