"inst","w","var","inc","rd","evpir","vssr","time"
47,4,2,10,0.16222793024199,4.06262653529491,NA,34.1174
49,4,2,10,0,6.17131572451247,NA,39.5584
50,4,2,10,0,4.65425531914894,1.04905437352246,51.0886
52,4,2,10,0,2.66466247608636,0,40.4017
56,4,2,10,0.291879928067506,2.53201449656922,1.57857985384436,69.8853
57,4,2,10,0,2.59703993297961,0.139625802848366,48.5147
59,4,2,10,0,5.08255933952528,0.64499484004128,51.2278
82,4,2,10,1.22582402615091,8.22120559741658,5.08611410118407,37.9932
127,4,2,10,0,3.14675950723085,0.160685591858597,33.6854
132,4,2,10,0,1.15886753703975,0,47.8897
144,4,2,10,0,7.01101518309021,NA,40.505
164,4,2,10,0,4.41466854724965,3.01833568406206,64.0641
191,4,2,10,0,5.86823152840758,5.98826353694318,44.7058
197,4,2,10,0,4.27759110881365,11.269061773068,34.6803
202,4,2,10,0,4.66557086863067,5.53799468959413,35.452
203,4,2,10,0,4.57121269361541,NA,66.7568
209,4,2,10,0,2.39479512735327,0.470653377630122,102.4489
217,4,2,10,0,1.2969786293294,0,23.6181
276,4,2,10,0,2.13227783452503,0.995914198161389,29.0461
277,4,2,10,0,1.64867230814123,0.904581266413773,39.4666
281,4,2,10,3.17801672640382,9.1593330245484,-2.09587772116721,28.9543
282,4,2,10,0,2.83819628647215,0.663129973474801,30.4602
300,4,2,10,0.00146799765120376,3.17229616724408,0.688480986790909,87.4556
312,4,2,10,0.518902891030393,3.30383480825959,-0.51622418879056,36.9118
345,4,2,10,0,3.34066538355788,1.51223535881221,42.5256
352,4,2,10,0,2.5207756232687,3.17174515235457,66.9169
358,4,2,10,0,5.59233694886604,1.21143823073672,43.9244
359,4,2,10,0,1.33649128743021,0,92.0029
364,4,2,10,0,2.44574020084224,2.25137674117266,69.5596
379,4,2,10,0,16.4342514694019,NA,44.9437
382,4,2,10,0,2.52478314745973,0,40.3801
419,4,2,10,0,2.85166240409207,0,28.9691
422,4,2,10,0,1.79904051172708,0,17.6192
429,4,2,10,0,1.46510731268474,0.282740007711091,40.5574
456,4,2,10,0,1.96185286103542,0,12.8869
502,4,2,10,0,4.62328767123288,0.036692759295499,31.9866
509,4,2,10,0,3.65952518818761,0.509554140127389,14.1349
52,4,2,20,0,4.93201812849907,0,66.4185
56,4,2,20,0,6.34705447374908,NA,91.518625
59,4,2,20,0,3.8135593220339,NA,117.1034
345,4,2,20,0,12.9001087087813,NA,91.9434
358,4,2,20,0,9.22062350119904,NA,92.5904
